x,value,date,realtime_end
06-12-2019,76094000,01-01-1900,06-12-2019
06-12-2019,77584000,01-01-1901,06-12-2019
06-12-2019,79163000,01-01-1902,06-12-2019
06-12-2019,80632000,01-01-1903,06-12-2019
06-12-2019,82166000,01-01-1904,06-12-2019
06-12-2019,83822000,01-01-1905,06-12-2019
06-12-2019,85450000,01-01-1906,06-12-2019
06-12-2019,87008000,01-01-1907,06-12-2019
06-12-2019,88710000,01-01-1908,06-12-2019
06-12-2019,90490000,01-01-1909,06-12-2019
06-12-2019,92407000,01-01-1910,06-12-2019
06-12-2019,93863000,01-01-1911,06-12-2019
06-12-2019,95335000,01-01-1912,06-12-2019
06-12-2019,97225000,01-01-1913,06-12-2019
06-12-2019,99111000,01-01-1914,06-12-2019
06-12-2019,100546000,01-01-1915,06-12-2019
06-12-2019,101961000,01-01-1916,06-12-2019
06-12-2019,103268000,01-01-1917,06-12-2019
06-12-2019,103208000,01-01-1918,06-12-2019
06-12-2019,104514000,01-01-1919,06-12-2019
06-12-2019,106461000,01-01-1920,06-12-2019
06-12-2019,108538000,01-01-1921,06-12-2019
06-12-2019,110049000,01-01-1922,06-12-2019
06-12-2019,111947000,01-01-1923,06-12-2019
06-12-2019,114109000,01-01-1924,06-12-2019
06-12-2019,115829000,01-01-1925,06-12-2019
06-12-2019,117397000,01-01-1926,06-12-2019
06-12-2019,119035000,01-01-1927,06-12-2019
06-12-2019,120509000,01-01-1928,06-12-2019
06-12-2019,121767000,01-01-1929,06-12-2019
06-12-2019,123076741,01-01-1930,06-12-2019
06-12-2019,124039648,01-01-1931,06-12-2019
06-12-2019,124840471,01-01-1932,06-12-2019
06-12-2019,125578763,01-01-1933,06-12-2019
06-12-2019,126373773,01-01-1934,06-12-2019
06-12-2019,127250232,01-01-1935,06-12-2019
06-12-2019,128053180,01-01-1936,06-12-2019
06-12-2019,128824829,01-01-1937,06-12-2019
06-12-2019,129824939,01-01-1938,06-12-2019
06-12-2019,130879718,01-01-1939,06-12-2019
06-12-2019,132122446,01-01-1940,06-12-2019
06-12-2019,133402471,01-01-1941,06-12-2019
06-12-2019,134859553,01-01-1942,06-12-2019
06-12-2019,136739353,01-01-1943,06-12-2019
06-12-2019,138397345,01-01-1944,06-12-2019
06-12-2019,139928165,01-01-1945,06-12-2019
06-12-2019,141388566,01-01-1946,06-12-2019
06-12-2019,144126071,01-01-1947,06-12-2019
06-12-2019,146631302,01-01-1948,06-12-2019
06-12-2019,149188130,01-01-1949,06-12-2019
06-12-2019,152271417,01-01-1950,06-12-2019
06-12-2019,154877889,01-01-1951,06-12-2019
06-12-2019,157552740,01-01-1952,06-12-2019
06-12-2019,160184192,01-01-1953,06-12-2019
06-12-2019,163025854,01-01-1954,06-12-2019
06-12-2019,165931202,01-01-1955,06-12-2019
06-12-2019,168903031,01-01-1956,06-12-2019
06-12-2019,171984130,01-01-1957,06-12-2019
06-12-2019,174881904,01-01-1958,06-12-2019
06-12-2019,177829628,01-01-1959,06-12-2019
06-12-2019,180671158,01-01-1960,06-12-2019
06-12-2019,183691481,01-01-1961,06-12-2019
06-12-2019,186537737,01-01-1962,06-12-2019
06-12-2019,189241798,01-01-1963,06-12-2019
06-12-2019,191888791,01-01-1964,06-12-2019
06-12-2019,194302963,01-01-1965,06-12-2019
06-12-2019,196560338,01-01-1966,06-12-2019
06-12-2019,198712056,01-01-1967,06-12-2019
06-12-2019,200706052,01-01-1968,06-12-2019
06-12-2019,202676946,01-01-1969,06-12-2019
06-12-2019,205052174,01-01-1970,06-12-2019
06-12-2019,207660677,01-01-1971,06-12-2019
06-12-2019,209896021,01-01-1972,06-12-2019
06-12-2019,211908788,01-01-1973,06-12-2019
06-12-2019,213853928,01-01-1974,06-12-2019
06-12-2019,215973199,01-01-1975,06-12-2019
06-12-2019,218035164,01-01-1976,06-12-2019
06-12-2019,220239425,01-01-1977,06-12-2019
06-12-2019,222584545,01-01-1978,06-12-2019
06-12-2019,225055487,01-01-1979,06-12-2019
06-12-2019,227224681,01-01-1980,06-12-2019
06-12-2019,229465714,01-01-1981,06-12-2019
06-12-2019,231664458,01-01-1982,06-12-2019
06-12-2019,233791994,01-01-1983,06-12-2019
06-12-2019,235824902,01-01-1984,06-12-2019
06-12-2019,237923795,01-01-1985,06-12-2019
06-12-2019,240132887,01-01-1986,06-12-2019
06-12-2019,242288918,01-01-1987,06-12-2019
06-12-2019,244498982,01-01-1988,06-12-2019
06-12-2019,246819230,01-01-1989,06-12-2019
06-12-2019,249464396,01-01-1990,06-12-2019
06-12-2019,252153092,01-01-1991,06-12-2019
06-12-2019,255029699,01-01-1992,06-12-2019
06-12-2019,257782608,01-01-1993,06-12-2019
06-12-2019,260327021,01-01-1994,06-12-2019
06-12-2019,262803276,01-01-1995,06-12-2019
06-12-2019,265228572,01-01-1996,06-12-2019
06-12-2019,267783607,01-01-1997,06-12-2019
06-12-2019,270248003,01-01-1998,06-12-2019
06-12-2019,272690813,01-01-1999,06-12-2019
